Name;Subcategory;Based on;Initial Appearance
WhoWatt 100;Guitar;Hiwatt® DR-103 (Brilliant channel);1.00
Soup Pro;Guitar;Supro® S6616;1.00
Stone Age 185;Guitar;Gibson® EH-185;1.00
Voltage Queen;Guitar;Victoria Vintage Queen;2.30
Tweed Blues Nrm;Guitar;Fender® Bassman® (normal channel);1.00
Tweed Blues Brt;Guitar;Fender Bassman (bright channel);1.00
Fullerton Nrm;Guitar;Fender 5C3 Tweed Deluxe (normal channel);2.80
Fullerton Brt;Guitar;Fender 5C3 Tweed Deluxe (bright channel);2.80
Fullerton Jump;Guitar;Fender 5C3 Tweed Deluxe (jumped channels);2.80
GrammaticoLG Nrm;Guitar;Grammatico® LaGrange (normal channel);2.80
GrammaticoLG Brt;Guitar;Grammatico LaGrange (bright channel);2.80
GrammaticoLG Jump;Guitar;Grammatico LaGrange (jumped channels);2.80
US Small Tweed;Guitar;Fender Champ;1.00
US Princess;Guitar;Fender Princeton Reverb®;3.00
US Super Nrm;Guitar;Fender Super Reverb normal channel;3.80
US Super Vib;Guitar;Fender Super Reverb vibrato channel;3.80
US Deluxe Nrm;Guitar;Fender Deluxe Reverb (normal channel);1.00
US Deluxe Vib;Guitar;Fender Deluxe Reverb (vibrato channel);1.00
US Double Nrm;Guitar;Fender Twin Reverb (normal channel);1.00
US Double Vib;Guitar;Fender Twin Reverb (vibrato channel);1.00
Mail Order Twin;Guitar;Silvertone® 1484;1.00
Divided Duo;Guitar;÷13 JRT 9/15;1.00
Interstate Zed;Guitar;Dr Z® Route 66;1.00
Derailed Ingrid;Guitar;Trainwreck® Circuits Express;2.30
Grammatico GSG;Guitar;Grammatico GSG100;3.60
Jazz Rivet 120;Guitar;Roland® JC-120 Jazz Chorus;1.00
Essex A15;Guitar;Vox® AC-15;1.00
Essex A30;Guitar;Vox AC-30 with top boost;1.00
A30 Fawn Nrm;Guitar;Vox AC-30 Fawn (normal channel);1.00
A30 Fawn Brt;Guitar;Vox AC-30 Fawn (bright channel);1.00
Matchstick Ch1;Guitar;Matchless® DC30 (channel 1);1.06
Matchstick Ch2;Guitar;Matchless DC30 (channel 2);1.06
Matchstick Jump;Guitar;Matchless DC30 (jumped);1.06
Mandarin 80;Guitar;Orange® OR80;1.00
Mandarin Rocker;Guitar;Orange® Rockerverb 100 MKIII;3.10
Moo)))n Nrm;Guitar;Sunn Model T (normal channel);3.50
