Soup Pro Ellipse;Single, Dual;1x6x9″ Supro® S6616;3.70
1x8 Small Tweed;Single, Dual;1×8″ Fender® Champ;3.70
1x10 US Princess;Single, Dual;"1x10"" Fender Princeton Reverb";3.50
1x12 Fullerton;Single, Dual;"1x12"" Fender® 5C3 Tweed Deluxe";3.70
1x12 Grammatico;Single, Dual;"1x12"" Grammatico LaGrange";3.50
1x12 US Deluxe;Single, Dual;"1x12"" Fender Deluxe Oxford";3.50
1x12 Open Cast;Single, Dual;"1x12"" custom open-back EVM12L";3.60
1x12 Open Cream;Single, Dual;"1x12"" custom open-back G12M-65";3.60
1x12 Cali EXT;Single, Dual;"1x12"" Mesa Boogie Extension Cab";3.50
1x12 Cali IV;Single, Dual;"1x12"" MESA/Boogie® Mk IV combo";3.70
1x12 Blue Bell;Single, Dual;"1×12"" Vox® AC-15 Blue Alnico";3.60
2x12 Blue Bell;Single, Dual;"2x12"" Vox AC-30 Fawn Blue";3.50
2x12 Silver Bell;Single, Dual;"2×12"" Vox AC-30TB Silver Alnico";3.60
2x12 Match H30;Single, Dual;"2x12"" Matchless® DC-30 custom G12H-30";3.60
2x12 Match G25;Single, Dual;"2x12"" Matchless DC-30 custom G12M-25";3.60
2x12 Double C12N;Single, Dual;"2x12"" Fender Twin C12N";3.50
2x12 Interstate;Single, Dual;2×12″ Dr Z® Z Best V30;3.70
2x12 Jazz Rivet;Single, Dual;"2x12"" Roland JC-120";3.50
2x12 Mail C12Q;Single, Dual;"2x12"" Silvertone 1484";3.50
2x12 Mandarin 30;Single, Dual;"2x12"" Orange PPC212 V30";3.50
4x10 Tweed P10R;Single, Dual;"4x10"" Fender Bassman P10R";3.50
4x10 US Super;Single, Dual;Fender Super Reverb;3.80
4x12 WhoWatt 100;Single, Dual;4x12″ Hiwatt® AP Fane®;3.70
4x12 Greenback 25;Single, Dual;4x12” Marshall Basketweave G12 M25;3.50
4x12 Greenback 30;Single, Dual;4×12″ Marshall® Basketweave G12H-30;3.70
4x12 Greenback 20;Single, Dual;"4×12"" Marshall® “basketweave” G12M-20";3.60
4x12 1960 T75;Single, Dual;"4x12"" Marshall 1960 AT75";3.50
4x12 Blackback 30;Single, Dual;4x12” Park 75 G12 H30;3.50
4x12 Brit V30;Single, Dual;Marshall® 1960AV V30;3.50
4x12 Cali V30;Single, Dual;"4x12"" MESA/Boogie 4FB V30";3.50
4x12 Mandarin EM;Single, Dual;"4x12"" Orange Eminence";3.50
4x12 MOO)))N T75;Single, Dual;"4x12"" Sunn Cab w/G75T";3.50
4x12 Cartog Guv;Single, Dual;“Cartographer” modified Lee Jackson 4x12 cabinet w/ Eminence Governor;3.80
4x12 Cartog C90;Single, Dual;“Cartographer” modified Lee Jackson 4x12 cabinet w/ Mesa C90;3.80
4x12 Uber T75;Single, Dual;"4x12"" Bogner Uberkab T75";3.50
4x12 Uber V30;Single, Dual;"4x12"" Bogner Uberkab V30";3.50
4x12 XXL V30;Single, Dual;"4x12"" ENGL XXL V30";3.50
4x12 SoloLead EM;Single, Dual;Soldano SLO 4x12 cabinet;3.80
1x12 Epicenter;Single, Dual;"1x12"" Epifani® Ultralight series";3.60
1x15 Ampeg B-15;Single, Dual;"1x15"" Ampeg B-15";3.50
2x15 Brute;Single, Dual;"2x15"" MESA/Boogie 2x15 EV";3.50
2x15 Dripman;Single, Dual;"2x15"" Fender® Bassman JBL D130";3.70
4x10 Garden;Single, Dual;"4x10"" Eden D410XLT";3.50
4x10 Ampeg Pro;Single, Dual;"4x10"" Ampeg® PR-410HLF";3.60
6x10 Cali Power;Single, Dual;6×10″ MESA/Boogie® Power House;3.70
8x10 SVT AV;Single, Dual;Ampeg® SVT® 810AV Heritage Edition;3.50
Kinky Boost;Mono, Stereo;Xotic® EP Booster;2.30
Deranged Master;Mono, Stereo;Dallas Rangemaster Treble Booster;2.60
Minotaur;Mono, Stereo;Klon® Centaur;1.00
Teemah!;Mono, Stereo;Paul Cochrane Timmy® Overdrive;1.06
Heir Apparent;Mono, Stereo;Analogman Prince of Tone;2.80
Tone Sovereign;Mono, Stereo;Analogman King of Tone;2.80
Alpaca Rogue;Mono, Stereo;Way Huge® Red Llama (modded);2.90
Compulsive Drive;Mono, Stereo;Fulltone® OCD;1.00
Dhyana Drive;Mono, Stereo;Hermida Zendrive;2.80
Horizon Drive;Mono, Stereo;Horizon Precision Drive;3.00
Valve Driver;Mono, Stereo;Chandler Tube Driver;1.00
Top Secret OD;Mono, Stereo;DOD® OD-250;1.00
Prize Drive;Mono, Stereo;Nobels ODR-1;3.70
Scream 808;Mono, Stereo;Ibanez® TS808 Tube Screamer®;1.00
Pillars OD;Mono, Stereo;Earthquaker Devices Plumes distortion;3.50
Hedgehog D9;Mono, Stereo;MAXON® SD9 Sonic Distortion;1.00
Stupor OD;Mono, Stereo;BOSS® SD-1 Overdrive;2.10
Deez One Vintage;Mono, Stereo;BOSS DS-1 Distortion (Made-in-Japan);2.60
Deez One Mod;Mono, Stereo;BOSS DS-1 Distortion (Keeley modded);2.60
Ratatouille Dist;Mono, Stereo;Pro Co RAT;3.10
Vermin Dist;Mono, Stereo;Pro Co RAT;1.00
Vital Dist;Mono, Stereo;Earthquaker Devices Life pedal (distortion side);3.50
Vital Boost;Mono, Stereo;Earthquaker Devices Life pedal (boost side);3.50
KWB;Mono, Stereo;Benadrian Kowloon Walled Bunny Distortion;1.06
Legendary Drive;Mono, Stereo;Carvin® VLD1 Legacy Drive (hi gain channel);2.90
Swedish Chainsaw;Mono, Stereo;Boss HM-2 Heavy Metal Distortion (MIJ);3.00
Arbitrator Fuzz;Mono, Stereo;Arbiter® FuzzFace®;1.00
Pocket Fuzz;Mono, Stereo;Jordan Boss Tone Fuzz;3.00
Bighorn Fuzz;Mono, Stereo;'73 Electro-Harmonix® Ram's Head Big Muff Pi®;3.00
Triangle Fuzz;Mono, Stereo;Electro-Harmonix Big Muff Pi;1.00
Dark Dove Fuzz;Mono, Stereo;Electro-Harmonix® Russian Big Muff;3.60
Ballistic Fuzz;Mono, Stereo;Euthymia ICBM Fuzz;3.00
Industrial Fuzz;Mono, Stereo;Z.Vex Fuzz Factory;1.00
Tycoctavia Fuzz;Mono, Stereo;Tycobrahe® Octavia;1.00
Wringer Fuzz;Mono, Stereo;Garbage’s modded BOSS FZ-2;2.00
Thrifter Fuzz;Mono, Stereo;Line 6 Original;2.30
Xenomorph Fuzz;Mono, Stereo;Subdecay Harmonic Antagonizer;2.90
Megaphone;Mono, Stereo;Megaphone;1.00
Bitcrusher;Mono, Stereo;Line 6 Original;1.06
Ampeg Scrambler;Mono, Stereo;Ampeg Scrambler Bass Overdrive;2.80
ZeroAmp Bass DI;Mono, Stereo;Tech 21 SansAmp Bass Driver DI V1;2.80
Regal Bass DI;Mono, Stereo;Noble Preamp bass DI;3.70
Clawthorn Drive;Mono, Stereo;Wounded Paw Battering Ram;2.20
Simple EQ;Mono, Stereo;Line 6 Original;1.00
Low and High Cut;Mono, Stereo;Line 6 Original;1.00
Low/High Shelf;Mono, Stereo;Line 6 Original;2.80
Parametric;Mono, Stereo;Line 6 Original;1.00
Tilt;Mono, Stereo;Line 6 Original;2.80
10 Band Graphic;Mono, Stereo;MXR 10-Band Graphic EQ;1.00
Cali Q Graphic;Mono, Stereo;MESA/Boogie Mark IV Graphic EQ;2.00
Acoustic Sim;Mono, Stereo;Line 6 Original;3.00
Deluxe Comp;Mono, Stereo;Line 6 Original;1.00
Red Squeeze;Mono, Stereo;MXR® Dyna Comp;1.00
Kinky Comp;Mono, Stereo;Xotic SP Compressor;2.30
Ampeg Opto Comp;Mono, Stereo;Ampeg Octo Comp compressor;3.15
Rochester Comp;Mono, Stereo;Ashly® CLX-52 (in conjunction w/ B. Sheehan);2.90
LA Studio Comp;Mono, Stereo;Teletronix® LA-2A®;1.00
3-Band Comp;Mono, Stereo;Line 6 Original;2.20
Noise Gate;Mono, Stereo;Line 6 Original;1.00
Hard Gate;Mono, Stereo;Line 6 Original;1.00
Horizon Gate;Mono, Stereo;Horizon Precision Drive - Gate Circuit;3.00
Autoswell;Mono, Stereo;Line 6 Original;2.20
Feedbacker;Mono, Stereo;Line 6 Original;3.70
Dynamic Hall;Mono, Stereo;Line 6 Original;3.10
Dynamic Plate;Mono, Stereo;Line 6 Original;3.15
Dynamic Room;Mono, Stereo;Line 6 Original;3.15
Dynamic Ambience;Mono, Stereo;Line 6 Original;3.50
Dynamic Bloom;Mono, Stereo;Line 6 Original;3.70
Shimmer;Mono, Stereo;Line 6 Original;3.15
Hot Springs;Mono, Stereo;Line 6 Original;3.10
Nonlinear;Mono, Stereo;Line 6 Original;3.70
Glitz;Mono, Stereo;Line 6 Original;2.50
Ganymede;Mono, Stereo;Line 6 Original;2.50
Searchlights;Mono, Stereo;Line 6 Original;2.50
Plateaux;Mono, Stereo;Line 6 Original;2.50
Double Tank;Mono, Stereo;Line 6 Original;2.50
Optical Trem;Mono, Stereo;Fender optical tremolo circuit;1.00
60s Bias Trem;Mono, Stereo;Vox AC-15 Tremolo;1.00
Tremolo/Autopan;Mono, Stereo;BOSS PN-2;1.06
Harmonic Tremolo;Mono, Stereo;Line 6 Original;2.00
Bleat Chop Trem;Mono, Stereo;Lightfoot Labs Goatkeeper;2.30
Script Mod Phase;Mono, Stereo;MXR Phase 90;1.00
Pebble Phaser;Mono, Stereo;Electro-Harmonix Small Stone;2.90
Ubiquitous Vibe;Mono, Stereo;Shin-ei Uni-Vibe®;1.00
FlexoVibe;Mono, Stereo;Line 6 Original;3.50
Deluxe Phaser;Mono, Stereo;Line 6 Original;1.06
Gray Flanger;Mono, Stereo;MXR 117 Flanger;1.00
Harmonic Flanger;Mono, Stereo;A/DA Flanger;1.00
Courtesan Flange;Mono, Stereo;Electro-Harmonix Deluxe EM;1.00
Dynamix Flanger;Mono, Stereo;Line 6 Original;1.06
Chorus;Mono, Stereo;Line 6 Original;1.00
